Street,City_State_ZipCode,Price,Bedrooms,Bathrooms,Size,Lot Size,TypePrice per Sqft,Year,Neighborhood,Time on Zillow,Views,Saves
"210 Southern Heights Blvd LOT 214,","San Rafael, CA 94901","$960,000",3,2,--,0 spaces,Single Family,"6,534 sqft",1953,Neighborhood: Picnic Valley,18 days,"2,539",103
"14 Fairfax St APT B,","San Rafael, CA 94901","$367,000",2,2,880,$524/mo,Condo,$417,1963,Neighborhood: Canal,18 days,"1,158",23
"18 Crestwood Dr,","San Rafael, CA 94901","$999,000",3,2,"1,388","6,098 sqft",Single Family,$720,1955,Neighborhood: Sun Valley,17 days,"3,870",92
"60 Marina Court Dr,","San Rafael, CA 94901","$1,647,000",4,3,"2,280","5,227 sqft",Single Family,$722,1961,Neighborhood: Montecito/Happy Valley,16 days,"3,251",107
"1219 Grand Ave APT 2,","San Rafael, CA 94901","$449,000",2,1,808,$425/mo,Condo,$556,1961,Neighborhood: Montecito/Happy Valley,12 days,"1,671",37
"335 Jewell St,","San Rafael, CA 94901","$1,080,000",3,2,"1,492","3,920 sqft",Single Family,$724,1936,Neighborhood: Dominican/Black Canyon,9 days,"3,595",178
"126 Loch Lomond Dr,","San Rafael, CA 94901","$2,680,000",4,4,"3,121","4,356 sqft",Single Family,$859,2015,Neighborhood: Loch Lomond,8 days,"1,332",20
"131 Knollwood Dr,","San Rafael, CA 94901","$955,000",3,2,"1,900",$475/mo,Condo,$503,1974,Neighborhood: Peacock Gap,8 days,"1,159",27
"20 Fair Dr,","San Rafael, CA 94901","$1,375,000",5,3,"2,955",0.32 Acres,Single Family,$465,1979,Neighborhood: Lincoln/San Rafael Hill,8 days,"2,174",116
"48 Greenside Way,","San Rafael, CA 94901","$899,000",3,2,"1,427",$650/mo,Condo,$630,1965,Neighborhood: Peacock Gap,8 days,"1,920",55
"323 Playa Del Rey,","San Rafael, CA 94901","$525,000",3,2,"1,323",$395/mo,Condo,$397,1973,Neighborhood: Canal,3 days,629,11
"368 Clorinda Ave,","San Rafael, CA 94901","$2,199,000",5,4,"3,950",0.36 Acres,Single Family,$557,1989,Neighborhood: Gerstle Park,2 days,959,23
"162 Solano St,","San Rafael, CA 94901","$785,000",2,1,"1,014","4,791 sqft",Single Family,$774,1944,Neighborhood: Sun Valley,1 day,"1,173",52
"362 Mountain View Ave,","San Rafael, CA 94901","$1,399,000",3,2,"1,725","9,147 sqft",Single Family,$811,1962,Neighborhood: Dominican/Black Canyon,1 day,"1,420",103
"1987 23rd St,","San Pablo, CA 94806","$499,000",0.25 Acres,,0.25 Acres,No Data,Vacant Land,0 spaces,No Data,Neighborhood: 94806,166 days,142,1
"5701 N Arlington Blvd,","San Pablo, CA 94806","$425,000",1.041 Acres,,1.041 Acres,0 spaces,Vacant Land,$79,No Data,Neighborhood: 94806,142 days,354,8
"1153 Rumrill Blvd #67,","San Pablo, CA 94806","$49,000",1,1,470,0 spaces,Mobile / Manufactured,$104,No Data,Neighborhood: 94806,123 days,"1,255",12
"2915 Devon Way,","San Pablo, CA 94806","$585,000",4,2,"1,960","4,098 sqft",Single Family,$298,1943,Neighborhood: 94806,117 days,"2,228",43
"1675 Hillcrest Rd,","San Pablo, CA 94806","$550,000",0.974 Acres,,0.974 Acres,No Data,Vacant Land,0 spaces,No Data,Neighborhood: 94806,102 days,166,7
"Market Ave,","San Pablo, CA 94806","$125,000","3,998 Square Feet",,"3,998 Square Feet",No Data,Vacant Land,0 spaces,No Data,Neighborhood: 94806,80 days,400,5
"2832 Moyers Rd,","Richmond, CA 94806","$575,000",4,2,"1,165","8,276 sqft",Single Family,$494,1955,Neighborhood: Fairmede,74 days,"5,005",196
,"San Pablo, CA 94806","$260,000","5,227 Square Feet",,"5,227 Square Feet",No Data,Vacant Land,0 spaces,No Data,Neighborhood: 94806,72 days,71,0
"1125 Road 20,","San Pablo, CA 94806","$319,900",0.36 Acres,,0.36 Acres,"Garage, Garage - Attached",Vacant Land,$274,1883,Neighborhood: 94806,68 days,469,17
"Hillcrest Rd,","San Pablo, CA 94806","$160,000",0.321 Acres,,0.321 Acres,No Data,Vacant Land,0 spaces,No Data,Neighborhood: 94806,56 days,386,5
"0 Road 20,","San Pablo, CA 94806","$399,000",0.367 Acres,,0.367 Acres,No Data,Vacant Land,0 spaces,No Data,Neighborhood: 94806,54 days,348,3
"2885 Willow Rd TRAILER 1,","San Pablo, CA 94806","$99,950",2,1,672,"Carport, Covered",Mobile / Manufactured,$149,1975,Neighborhood: 94806,53 days,963,11
"2216 Dover Ave,","San Pablo, CA 94806","$550,000",4,3,"1,873","3,301 sqft",Single Family,$294,1948,Neighborhood: 94806,42 days,"1,533",22
"5984 Westview Pl,","San Pablo, CA 94806","$625,000",3,2,"1,297","3,598 sqft",Single Family,$482,1949,Neighborhood: 94806,39 days,"3,456",158
"16401 San Pablo Ave SPACE 272,","San Pablo, CA 94806","$198,000",2,2,"1,344","Carport, Covered",Mobile / Manufactured,$147,No Data,Neighborhood: 94806,39 days,"2,390",98
"1000 Evergreen Ter APT 1304,","San Pablo, CA 94806","$329,888",2,2,"1,164",$400/mo,Condo,$283,1984,Neighborhood: 94806,30 days,"2,605",100
"15 Las Moradas Cir,","San Pablo, CA 94806","$375,000",2,2,947,$380/mo,Condo,$396,1981,Neighborhood: 94806,17 days,"1,062",12
"5405 Stony Ct,","Richmond, CA 94806","$688,888",3,3,"1,970","2,761 sqft",Single Family,$350,2005,Neighborhood: Hilltop District,7 days,"1,598",43
"2501 Merritt Ave,","San Pablo, CA 94806","$439,000",3,2,"1,212","7,200 sqft",Single Family,$362,1944,Neighborhood: 94806,6 days,"1,278",26
"2760 20th St,","San Pablo, CA 94806","$469,950",2,2,"1,018","5,000 sqft",Single Family,$462,1942,Neighborhood: 94806,2 days,886,72
"1616 Bayo Vista Ave,","San Pablo, CA 94806","$799,000",3,2,"2,105","4,199 sqft",Single Family,$380,1983,Neighborhood: 94806,2 days,612,46
"1749 16th St,","San Pablo, CA 94806","$499,000",3,2,"1,056","4,238 sqft",Single Family,$473,1985,Neighborhood: 94806,1 day,566,22
"3912 Selmi Grv,","Richmond, CA 94806","$690,000",4,3,"2,010","7,422 sqft",Single Family,$343,2002,Neighborhood: Hilltop District,1 day,"1,140",78
"6317 Monte Cresta Ave,","Richmond, CA 94806","$629,000",3,2,"1,395","7,474 sqft",Single Family,$451,1964,Neighborhood: 94806,1 day,"1,156",95
"186 Christine Dr,","San Pablo, CA 94806","$475,000",3,1,956,"5,501 sqft",Single Family,$497,1953,Neighborhood: 94806,1 day,435,33
"1030 Road 20,","San Pablo, CA 94806","$489,000",3,1,960,"4,991 sqft",Single Family,$509,1954,Neighborhood: 94806,1 day,467,30
"5328 Haskel Ct,","Richmond, CA 94806","$618,000",3,4,"1,597","2,443 sqft",Single Family,$387,2005,Neighborhood: Hilltop District,20 hours,355,17
"436 37th St,","Richmond, CA 94805","$472,760",2,1,964,"Garage, Garage - Attached",Single Family,"2,700 sqft",1962,Neighborhood: North and East,362 days,330,3
"6278 Bernhard Ave,","Richmond, CA 94805","$782,432",3,2,"1,446","Garage, Garage - Attached, Covered",Single Family,"8,400 sqft",1938,Neighborhood: Richmond Heights,353 days,690,6
"0 Fairview Ave,","Richmond, CA 94805","$795,000",5.797 Acres,,5.797 Acres,No Data,Vacant Land,0 spaces,No Data,Neighborhood: Richmond Heights,351 days,612,7
"464 Carlston St,","Richmond, CA 94805","$289,000","4,251 Square Feet",,"4,251 Square Feet",No Data,Vacant Land,0 spaces,No Data,Neighborhood: 94805,303 days,508,6
"5601 Doremus Ave,","Richmond, CA 94805",2,2,1.5,"2,204","Garage, Garage - Attached",Single Family,"4,356 sqft",1957,Neighborhood: Richmond Heights,290 days,447,4
"4031 Clinton Ave,","Richmond, CA 94805","$635,327",2,1,"1,427","Garage, Garage - Attached",Single Family,"3,800 sqft",1918,Neighborhood: North and East,279 days,196,2
"673 Mclaughlin St,","Richmond, CA 94805","$899,999",6,3,"2,710","5,998 sqft",Single Family,$332,1942,Neighborhood: Richmond Heights,112 days,"1,951",39
"2658 Mira Vista Dr,","Richmond, CA 94805","$1,088,888",7,3,"3,080","6,499 sqft",Single Family,$354,1951,Neighborhood: Richmond Heights,107 days,"2,473",52
"Dimm Way,","Richmond, CA 94805","$165,000","4,356 Square Feet",,"4,356 Square Feet",No Data,Vacant Land,0 spaces,No Data,Neighborhood: Richmond Heights,30 days,"1,213",23
"568 38th St,","Richmond, CA 94805","$799,950",--,--,"2,229",0 spaces,Multiple Occupancy,$359,1948,Neighborhood: North and East,17 days,"1,061",43
"6250 Arlington Blvd,","Richmond, CA 94805","$979,000",4,2,"2,274","5,248 sqft",Single Family,$431,1964,Neighborhood: Richmond Heights,12 days,"1,701",46
"5419 Garvin Ave,","Richmond, CA 94805","$629,000",2,1,892,"4,800 sqft",Single Family,$705,1942,Neighborhood: Richmond Heights,2 days,370,10
"2812 Esmond Ave,","Richmond, CA 94804","$565,000",2,2,"1,137","4,142 sqft",Single Family,$497,1950,Neighborhood: North and East,87 days,"1,063",31
"185 Schooner Ct,","Richmond, CA 94804","$545,000",2,2,997,$486/mo,Condo,$547,1986,Neighborhood: Marina Bay,85 days,"1,385",20
"S 59th St,","Richmond, CA 94804","$278,000","4,499 Square Feet",,"4,499 Square Feet",No Data,Vacant Land,0 spaces,No Data,Neighborhood: Richmond Annex,82 days,592,7
"133 Schooner Ct,","Richmond, CA 94804","$386,000",1,1,732,$448/mo,Condo,$527,1986,Neighborhood: Marina Bay,75 days,293,5
"91 Schooner Ct,","Richmond, CA 94804","$390,000",1,1,732,$448/mo,Condo,$533,1986,Neighborhood: Marina Bay,71 days,"1,090",34
"5924 Bayview Ave,","Richmond, CA 94804","$1,580,000",--,--,"3,439","Carport, Covered",Multiple Occupancy,$459,1967,Neighborhood: Richmond Annex,69 days,485,7
"5715 Bayview Ave,","Richmond, CA 94804","$599,950",2,1,"1,287","5,000 sqft",Single Family,$466,1901,Neighborhood: Richmond Annex,46 days,"4,157",97
"1332 Mariposa St,","Richmond, CA 94804","$569,950",3,1,"1,038","5,000 sqft",Single Family,$549,1940,Neighborhood: Panhandle Annex,46 days,"1,798",29
"2 Anchor Point Dr,","Richmond, CA 94804","$999,761",3,3,"2,296",Covered,Condo,$435,2020,Neighborhood: Point Richmond,,,
"1648 Salty Cove Way,","Richmond, CA 94804","$710,000",--,3,"1,713",$155/mo,Condo,$414,2020,Neighborhood: Marina Bay,37 days,243,1
"1584 Harbor Lights Rd #100,","Richmond, CA 94804","$759,668",3,3,"1,851",$155/mo,Condo,$410,2020,Neighborhood: Marina Bay,37 days,423,10
"317 S 25th St,","Richmond, CA 94804","$999,000",--,--,"3,456","Garage - Detached, Covered",Multiple Occupancy,$289,1958,Neighborhood: Cortez,32 days,620,12
"2529 Columbia Blvd,","Richmond, CA 94804","$593,500",2,1,"1,082","3,484 sqft",Single Family,$549,1945,Neighborhood: Southwest Annex,32 days,"2,822",42
"2 Marina Lakes Dr,","Richmond, CA 94804","$479,000",2,1,847,$457/mo,Condo,$566,1992,Neighborhood: Marina Bay,23 days,"1,500",42
"94 Lakeshore Ct,","Richmond, CA 94804","$420,000",1,1,779,$407/mo,Condo,$539,1991,Neighborhood: Marina Bay,22 days,892,31
"3427 Ohio Ave,","Richmond, CA 94804","$440,000",2,1,900,"2,700 sqft",Single Family,$489,1953,Neighborhood: Pullman,21 days,"1,351",24
"Floor plan: Plan 2B, Waterline,","Richmond, CA 94804",from ,3,3,"2,911",Covered,Condo,$530,2020,Neighborhood: Point Richmond,,,
"131 Shoreline Ct,","Richmond, CA 94804","$475,000",1,1,779,$407/mo,Condo,$610,1990,Neighborhood: Marina Bay,14 days,"1,105",23
"527 S 21st St,","Richmond, CA 94804","$499,000",3,1,960,"3,798 sqft",Single Family,$520,1960,Neighborhood: Coronado,14 days,"1,483",16
"Buildable plan: Residence 3 WLH, Places at NOMA,","Richmond, CA 94804",from ,3,3,"1,742",No Data,Single Family,$417,2020,Neighborhood: Marina Bay,,,
"Buildable plan: Residence 3 WLH, Rows at NOMA,","Richmond, CA 94804",from ,3,4,"1,709",No Data,Single Family,$384,2020,Neighborhood: Marina Bay,,,
"Floor plan: Residence 1 WLH, Places at NOMA,","Richmond, CA 94804",from ,2,3,"1,622",Covered,Condo,$433,2020,Neighborhood: Marina Bay,,,
"Floor plan: Residence 2 WLH, Rows at NOMA,","Richmond, CA 94804",from ,3,4,"1,702",Covered,Condo,$377,2020,Neighborhood: Marina Bay,,,
"28 Sunset Ln,","Richmond, CA 94804","$1,175,000",3,2,"2,296",$525/mo,Condo,$512,2019,Neighborhood: Point Richmond,8 days,824,20
"23 Schooner Ct,","Richmond, CA 94804","$499,000",2,2,997,$446/mo,Condo,$501,1986,Neighborhood: Marina Bay,8 days,542,19
"2835 Bissell Ave,","Richmond, CA 94804","$685,000",3,1,"1,814","4,700 sqft",Single Family,$378,1938,Neighborhood: Richmore Village,8 days,528,7
"Floor plan: Residence 2 WLH, Places at NOMA,","Richmond, CA 94804",from ,3,4,"1,702",Covered,Condo,$439,2020,Neighborhood: Marina Bay,,,
"85 Harbor View Dr,","Richmond, CA 94804","$880,000",3,3,"1,835","3,375 sqft",Single Family,$480,1996,Neighborhood: Marina Bay,7 days,"2,238",64
"Floor plan: Plan 4F, Waterline,","Richmond, CA 94804",from ,2,3,"2,076",Covered,Condo,$439,2020,Neighborhood: Point Richmond,,,
"Floor plan: Plan 4D, Waterline,","Richmond, CA 94804",from ,3,3,"2,296",Covered,Condo,$435,2020,Neighborhood: Point Richmond,,,
"Floor plan: Residence 1 WLH, Rows at NOMA,","Richmond, CA 94804",from ,2,3,"1,531",Covered,Condo,$402,2020,Neighborhood: Marina Bay,,,
"Floor plan: Plan 4G, Waterline,","Richmond, CA 94804",from ,3,3,"2,107",Covered,Condo,$461,2020,Neighborhood: Point Richmond,,,
"Floor plan: Plan 4A, Waterline,","Richmond, CA 94804",from ,2,3,"2,391",Covered,Condo,$404,2020,Neighborhood: Point Richmond,,,
"2338 Rheem Ave #2340,","Richmond, CA 94804","$748,888",5,2,"1,508","Garage, Carport, Covered",Multiple Occupancy,$497,1943,Neighborhood: North and East,3 days,468,16
"Floor plan: Plan 4E, Waterline,","Richmond, CA 94804",from ,3,3,"2,625",Covered,Condo,$465,2020,Neighborhood: Point Richmond,,,
"84 Lakeshore Ct,","Richmond, CA 94804","$490,000",2,1,869,$424/mo,Condo,$564,1991,Neighborhood: Marina Bay,2 days,301,8
"2602 Jetty Dr,","Richmond, CA 94804","$599,000",2,3,"1,144","2,125 sqft",Townhouse,$524,2008,Neighborhood: Marina Bay,2 days,438,13
"2908 Johnson Ave,","Richmond, CA 94804","$489,000",3,1,855,"2,500 sqft",Single Family,$572,1959,Neighborhood: Cortez,1 day,250,7
"1539 Mariposa St,","Richmond, CA 94804","$690,000",2,1,739,"3,920 sqft",Single Family,$934,1955,Neighborhood: Richmond Annex,20 hours,202,4
"1 Harbor View Dr,","Richmond, CA 94804","$1,100,000",3,3,"1,675","3,484 sqft",Single Family,$657,1997,Neighborhood: Marina Bay,8 hours,49,0
"4809 Skyhawk Dr,","El Sobrante, CA 94803","$766,535",4,2.5,"1,936","Garage, Garage - Attached",Single Family,"9,900 sqft",1979,Neighborhood: May Valley,324 days,339,4
"242 N Rancho Pl,","Pinole, CA 94803","$781,845",4,3,"2,385","Garage, Garage - Attached, Covered",Single Family,"10,541 sqft",1999,Neighborhood: 94803,319 days,"1,220",20
"628 Stanley Ln,","El Sobrante, CA 94803","$1,000,389",5,3,"2,944","Garage, Garage - Attached",Single Family,0.51 Acres,2000,Neighborhood: 94803,299 days,595,6
"3126 Fiesta Ct,","Richmond, CA 94803","$734,652",4,2,"2,200",Garage,Single Family,"6,300 sqft",1976,Neighborhood: May Valley,296 days,242,2
"Castro Ranch Rd,","El Sobrante, CA 94803","$1,780,000",97.62 Acres,,97.62 Acres,"Garage, Garage - Attached",Vacant Land,"$1,297",1964,Neighborhood: 94803,283 days,628,5
"0 Knobcone Dr,","El Sobrante, CA 94803","$399,000",-- sqft,,-- sqft,No Data,Vacant Land,0 spaces,No Data,Neighborhood: 94803,274 days,503,12
"710 Bayview Ct,","El Sobrante, CA 94803","$683,466",3,2,"2,208","Garage, Garage - Attached",Single Family,"8,276 sqft",1941,Neighborhood: 94803,270 days,527,1
"4162 Santa Rita Rd,","El Sobrante, CA 94803","$562,994",3,2,"1,435","Garage, Garage - Attached",Single Family,"6,600 sqft",1965,Neighborhood: 94803,265 days,"1,049",4
"1104 Parkridge Dr,","Richmond, CA 94803","$671,628",3,2.5,"1,734","Garage, Garage - Attached",Other,$491/mo,1975,Neighborhood: Hilltop Green,254 days,290,2
"432 Valley View Rd,","El Sobrante, CA 94803","$799,000",1.11 Acres,,1.11 Acres,No Data,Vacant Land,0 spaces,No Data,Neighborhood: 94803,236 days,230,2
"4848 Morwood Dr,","Richmond, CA 94803","$688,030",3,2,"1,360","Garage, Garage - Attached",Single Family,"6,969 sqft",1960,Neighborhood: May Valley,206 days,408,5
"0 Skyline Dr,","El Sobrante, CA 94803","$75,000",0.776 Acres,,0.776 Acres,0 spaces,Vacant Land,$2,No Data,Neighborhood: 94803,196 days,944,24
"817 Maison Way,","Richmond, CA 94803","$780,289",4,3,"1,743","Garage, Garage - Attached",Single Family,0.26 Acres,1984,Neighborhood: Greenbriar,179 days,583,6
"16 Mary Ln,","Richmond, CA 94803","$493,283",3,1.5,"1,261",$320/mo,Single Family,"2,800 sqft",1977,Neighborhood: 94803,135 days,678,14
"1 Canary Ln,","Richmond, CA 94803","$530,000",3,2,"1,430","2,051 sqft",Townhouse,$371,1974,Neighborhood: 94803,129 days,"1,297",14
"5800 Skyline Dr,","El Sobrante, CA 94803","$150,000",0.997 Acres,,0.997 Acres,No Data,Vacant Land,0 spaces,No Data,Neighborhood: 94803,128 days,556,14
"742 Alhambra Rd,","El Sobrante, CA 94803","$635,000",3,2,"1,500","7,200 sqft",Single Family,$423,1951,Neighborhood: 94803,99 days,"3,440",94
"4781 San Pablo Dam Rd,","El Sobrante, CA 94803","$415,000",0.62 Acres,,0.62 Acres,No Data,Vacant Land,0 spaces,No Data,Neighborhood: 94803,99 days,308,6
"4894 Appian Way,","El Sobrante, CA 94803","$579,380",--,--,"1,372",0 spaces,Single Family,0.33 Acres,1939,Neighborhood: 94803,97 days,443,6
"4511 Elmwood Rd,","El Sobrante, CA 94803","$999,000",4,5,"3,560","5,998 sqft",Single Family,$281,2020,Neighborhood: 94803,92 days,"1,701",53
"4265 San Pablo Dam Rd,","El Sobrante, CA 94803","$199,900",0.76 Acres,,0.76 Acres,No Data,Vacant Land,0 spaces,No Data,Neighborhood: 94803,72 days,411,7
"511 Del Valle Cir,","El Sobrante, CA 94803","$355,000",2,2,"1,046",$434/mo,Condo,$339,1980,Neighborhood: 94803,66 days,"3,571",55
"6100 Skyline Dr,","El Sobrante, CA 94803","$1,100,000",3,1.5,"1,780",0.34 Acres,Single Family,$618,1990,Neighborhood: 94803,65 days,"1,180",13
"3947 La Cima Rd,","El Sobrante, CA 94803","$140,000","9,600 Square Feet",,"9,600 Square Feet",No Data,Vacant Land,0 spaces,No Data,Neighborhood: 94803,54 days,727,18
"1029 E Parkside Dr,","El Sobrante, CA 94803","$449,950",3,3,"1,623","3,484 sqft",Single Family,$277,1968,Neighborhood: Hilltop Green,53 days,"1,879",42
"0 Oak Knoll Rd,","El Sobrante, CA 94803","$145,000",0.49 Acres,,0.49 Acres,No Data,Vacant Land,0 spaces,No Data,Neighborhood: 94803,51 days,582,13
"3430 San Pablo Dam Rd APT 60,","San Pablo, CA 94803","$335,000",2,2,902,$425/mo,Condo,$371,1981,Neighborhood: 94803,38 days,"1,789",20
"458 Colina Way,","El Sobrante, CA 94803","$769,000",3,2,"2,131","2,284 sqft",Single Family,$361,2020,Neighborhood: 94803,32 days,"1,197",38
"906 Ridgedale Ct,","El Sobrante, CA 94803","$770,000",3,3,"2,044","9,439 sqft",Single Family,$377,1998,Neighborhood: 94803,31 days,"2,958",40
"Montera Ct,","El Sobrante, CA 94803","$160,000","5,501 Square Feet",,"5,501 Square Feet",No Data,Vacant Land,0 spaces,No Data,Neighborhood: 94803,25 days,317,5
"5024 Escalon Cir,","Richmond, CA 94803","$689,000",4,3,"2,087","3,537 sqft",Single Family,$330,2005,Neighborhood: May Valley,24 days,"3,144",69
"416 La Paloma Rd,","El Sobrante, CA 94803","$550,000",--,--,--,None,Multiple Occupancy,None,1946,Neighborhood: 94803,24 days,"1,581",35
"445 Valley View Rd,","El Sobrante, CA 94803","$498,000",4,4,"1,922",0 spaces,Multiple Occupancy,$259,1948,Neighborhood: 94803,21 days,"5,343",126
"4716 Upland Dr,","Richmond, CA 94803","$599,888",3,2,"1,218","5,797 sqft",Single Family,$493,1958,Neighborhood: 94803,16 days,"4,999",179
"1157 Kelvin Rd,","El Sobrante, CA 94803","$750,000",4,3,"2,074","8,999 sqft",Single Family,$362,1979,Neighborhood: 94803,16 days,"1,986",55
"2534 May Rd,","El Sobrante, CA 94803","$988,000",3,3,"2,415",0.33 Acres,Single Family,$409,1975,Neighborhood: 94803,7 days,"1,611",100
"207 Del Valle Cir,","El Sobrante, CA 94803","$345,000",2,2,"1,022",$444/mo,Condo,$338,1980,Neighborhood: 94803,6 days,"1,013",28
"2825 Sheldon Dr,","Richmond, CA 94803","$649,000",3,2,"1,546","5,702 sqft",Single Family,$420,1955,Neighborhood: May Valley,5 days,"1,778",83
"5267 Sunset Dr,","El Sobrante, CA 94803","$799,000",3,2,"2,109",0.38 Acres,Single Family,$379,1990,Neighborhood: 94803,1 day,"1,176",91
"725 Renfrew Rd,","El Sobrante, CA 94803","$739,000",3,1,"1,219",1.30 Acres,Single Family,$606,1949,Neighborhood: 94803,1 day,166,7
"16 Castro St,","Richmond, CA 94801","$8,000,000",8.44 Acres,,8.44 Acres,No Data,Vacant Land,0 spaces,No Data,Neighborhood: Point Richmond,248 days,542,1
"426 Bissell Ave,","Richmond, CA 94801","$442,640",3,1.75,"1,216",0 spaces,Single Family,"4,294 sqft",1911,Neighborhood: Iron Triangle,221 days,297,6
"207 Nicholl Ave,","Richmond, CA 94801","$379,140",2,1,778,"Garage, Garage - Detached, Covered",Single Family,"4,800 sqft",1902,Neighborhood: Point Richmond,219 days,"1,885",23
"1609 Pennsylvania Ave,","Richmond, CA 94801","$849,950",--,--,"3,150",0 spaces,Multiple Occupancy,$270,1967,Neighborhood: Belding,176 days,175,1
"424 1st St,","Richmond, CA 94801","$401,100",--,--,"2,302",No Data,Multiple Occupancy,0 spaces,1911,Neighborhood: Iron Triangle,163 days,435,8
"646 18th St,","Richmond, CA 94801",: ,2,1,967,0 spaces,Single Family,"2,613 sqft",1911,Neighborhood: Belding,156 days,371,30
"1319 Kelsey St,","Richmond, CA 94801","$186,500",2,1,518,"2,613 sqft",Single Family,$360,1916,Neighborhood: Shields-Reid,148 days,"2,128",23
"1469 Sandpiper Spit,","Richmond, CA 94801","$2,895,000",4,6,"4,492","6,098 sqft",Single Family,$644,2005,Neighborhood: Point Richmond,141 days,"2,260",34
"11 Willard Ave,","Richmond, CA 94801","$449,999",4,3,"1,361","2,500 sqft",Single Family,$331,2006,Neighborhood: Shields-Reid,120 days,"3,076",43
"120 11th St,","Richmond, CA 94801","$180,000",2,2,"1,060","4,295 sqft",Single Family,$170,1908,Neighborhood: Iron Triangle,114 days,"4,672",103
"118 11th St,","Richmond, CA 94801","$180,000",1,1,980,"4,295 sqft",Single Family,$184,1918,Neighborhood: Iron Triangle,114 days,"2,116",50
